,,,,,,,image uploaded into results,is this image relevant to the qurey? 1 or 0,,,
query_text,dataset,query_type,positive,negative,method,image_number,image_link,annotator_1,annotator_2,annotator_3,aggregate 
a golder retriever,stanford_dogs,objective,,,CLIP,1,stanford_golden retriever.png,1,1,1,1
a golder retriever,stanford_dogs,objective,,,CLIP,2,stanford_golden retriever.png,1,1,1,1
a golder retriever,stanford_dogs,objective,,,CLIP,3,stanford_golden retriever.png,0,0,1,0
a golder retriever,stanford_dogs,objective,,,CLIP,4,stanford_golden retriever.png,0,0,0,0
a golder retriever,stanford_dogs,objective,,,CLIP,5,stanford_golden retriever.png,0,0,0,0
a golder retriever,stanford_dogs,objective,,,CLIP,6,stanford_golden retriever.png,1,1,1,1
a golder retriever,stanford_dogs,objective,,,CLIP,7,stanford_golden retriever.png,0,0,0,0
a golder retriever,stanford_dogs,objective,,,CLIP,8,stanford_golden retriever.png,1,1,1,1
a golder retriever,stanford_dogs,objective,,,CLIP,9,stanford_golden retriever.png,0,1,1,1
a golder retriever,stanford_dogs,objective,,,CLIP,10,stanford_golden retriever.png,0,1,1,1
a golder retriever,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,1,stanford_golden retriever.png,1,1,1,1
a golder retriever,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,2,stanford_golden retriever.png,1,1,1,1
a golder retriever,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,3,stanford_golden retriever.png,1,1,1,1
a golder retriever,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,4,stanford_golden retriever.png,0,1,1,1
a golder retriever,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,5,stanford_golden retriever.png,0,0,0,0
a golder retriever,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,6,stanford_golden retriever.png,0,0,1,0
a golder retriever,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,7,stanford_golden retriever.png,1,1,1,1
a golder retriever,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,8,stanford_golden retriever.png,0,1,1,1
a golder retriever,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,9,stanford_golden retriever.png,0,0,0,0
a golder retriever,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,10,stanford_golden retriever.png,0,0,0,0
a dog on a beach,stanford_dogs,objective,,,CLIP,1,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,,,CLIP,2,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,,,CLIP,3,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,,,CLIP,4,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,,,CLIP,5,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,,,CLIP,6,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,,,CLIP,7,stanford_dog_on_a_beach.png,0,0,0,0
a dog on a beach,stanford_dogs,objective,,,CLIP,8,stanford_dog_on_a_beach.png,1,1,0,1
a dog on a beach,stanford_dogs,objective,,,CLIP,9,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,,,CLIP,10,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,1,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,2,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,3,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,4,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,5,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,6,stanford_dog_on_a_beach.png,0,0,0,0
a dog on a beach,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,7,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,8,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,9,stanford_dog_on_a_beach.png,1,1,1,1
a dog on a beach,stanford_dogs,objective,"""golden retriever dog"", ""light golden or cream colored fur"", ""medium to long wavy coat"", ""soft feathered tail"",""long fur on chest and legs"",""floppy ears"",""broad head with gentle facial structure"",""medium to large sized retriever dog"", ""athletic but well balanced body""","""short fur dog"", ""dark colored fur"",""black or brown coat"",""tight curly coat"",""thin or hairless tail"",""pointed upright ears"",""wolf-like dog"",""small dog breed""",Feedback,10,stanford_dog_on_a_beach.png,1,1,0,1
a dog looking guilty,stanford_dogs,subjective,,,CLIP,1,stanford_dog_looking_guilty.png,1,0,0,0
a dog looking guilty,stanford_dogs,subjective,,,CLIP,2,stanford_dog_looking_guilty.png,0,0,0,0
a dog looking guilty,stanford_dogs,subjective,,,CLIP,3,stanford_dog_looking_guilty.png,0,0,0,0
a dog looking guilty,stanford_dogs,subjective,,,CLIP,4,stanford_dog_looking_guilty.png,1,1,1,1
a dog looking guilty,stanford_dogs,subjective,,,CLIP,5,stanford_dog_looking_guilty.png,1,1,1,1
a dog looking guilty,stanford_dogs,subjective,,,CLIP,6,stanford_dog_looking_guilty.png,0,0,0,0
a dog looking guilty,stanford_dogs,subjective,,,CLIP,7,stanford_dog_looking_guilty.png,1,1,1,1
a dog looking guilty,stanford_dogs,subjective,,,CLIP,8,stanford_dog_looking_guilty.png,1,1,1,1
a dog looking guilty,stanford_dogs,subjective,,,CLIP,9,stanford_dog_looking_guilty.png,1,1,1,1
a dog looking guilty,stanford_dogs,subjective,,,CLIP,10,stanford_dog_looking_guilty.png,1,1,1,1
a dog looking guilty,stanford_dogs,subjective,"""sad"", ""droopy"", ""ashamed"", ""looking down"", ""submissive""","""happy"", ""playful"", ""energetic"", ""excited""",Feedback,1,stanford_dog_looking_guilty.png,1,1,1,1
a dog looking guilty,stanford_dogs,subjective,"""sad"", ""droopy"", ""ashamed"", ""looking down"", ""submissive""","""happy"", ""playful"", ""energetic"", ""excited""",Feedback,2,stanford_dog_looking_guilty.png,1,1,1,1
a dog looking guilty,stanford_dogs,subjective,"""sad"", ""droopy"", ""ashamed"", ""looking down"", ""submissive""","""happy"", ""playful"", ""energetic"", ""excited""",Feedback,3,stanford_dog_looking_guilty.png,1,1,1,1
a dog looking guilty,stanford_dogs,subjective,"""sad"", ""droopy"", ""ashamed"", ""looking down"", ""submissive""","""happy"", ""playful"", ""energetic"", ""excited""",Feedback,4,stanford_dog_looking_guilty.png,1,1,1,1
a dog looking guilty,stanford_dogs,subjective,"""sad"", ""droopy"", ""ashamed"", ""looking down"", ""submissive""","""happy"", ""playful"", ""energetic"", ""excited""",Feedback,5,stanford_dog_looking_guilty.png,1,1,1,1
a dog looking guilty,stanford_dogs,subjective,"""sad"", ""droopy"", ""ashamed"", ""looking down"", ""submissive""","""happy"", ""playful"", ""energetic"", ""excited""",Feedback,6,stanford_dog_looking_guilty.png,0,0,0,0
a dog looking guilty,stanford_dogs,subjective,"""sad"", ""droopy"", ""ashamed"", ""looking down"", ""submissive""","""happy"", ""playful"", ""energetic"", ""excited""",Feedback,7,stanford_dog_looking_guilty.png,1,1,1,1
a dog looking guilty,stanford_dogs,subjective,"""sad"", ""droopy"", ""ashamed"", ""looking down"", ""submissive""","""happy"", ""playful"", ""energetic"", ""excited""",Feedback,8,stanford_dog_looking_guilty.png,1,1,1,1
a dog looking guilty,stanford_dogs,subjective,"""sad"", ""droopy"", ""ashamed"", ""looking down"", ""submissive""","""happy"", ""playful"", ""energetic"", ""excited""",Feedback,9,stanford_dog_looking_guilty.png,1,1,1,1
a dog looking guilty,stanford_dogs,subjective,"""sad"", ""droopy"", ""ashamed"", ""looking down"", ""submissive""","""happy"", ""playful"", ""energetic"", ""excited""",Feedback,10,stanford_dog_looking_guilty.png,1,1,1,1
a friendly looking dog,stanford_dogs,subjective,,,CLIP,1,stanford_friendly_looking_dog.png,1,0,0,0
a friendly looking dog,stanford_dogs,subjective,,,CLIP,2,stanford_friendly_looking_dog.png,0,0,0,0
a friendly looking dog,stanford_dogs,subjective,,,CLIP,3,stanford_friendly_looking_dog.png,1,1,1,1
a friendly looking dog,stanford_dogs,subjective,,,CLIP,4,stanford_friendly_looking_dog.png,0,0,0,0
a friendly looking dog,stanford_dogs,subjective,,,CLIP,5,stanford_friendly_looking_dog.png,1,1,1,1
a friendly looking dog,stanford_dogs,subjective,,,CLIP,6,stanford_friendly_looking_dog.png,1,0,0,0
a friendly looking dog,stanford_dogs,subjective,,,CLIP,7,stanford_friendly_looking_dog.png,0,0,1,0
a friendly looking dog,stanford_dogs,subjective,,,CLIP,8,stanford_friendly_looking_dog.png,1,1,0,1
a friendly looking dog,stanford_dogs,subjective,,,CLIP,9,stanford_friendly_looking_dog.png,1,1,1,1
a friendly looking dog,stanford_dogs,subjective,,,CLIP,10,stanford_friendly_looking_dog.png,0,0,0,0
a friendly looking dog,stanford_dogs,subjective,"""happy"", ""playful"", ""gentle"", ""cute"", ""adorable"", ""wagging tail""","""aggressive"", ""scary"", ""angry"", ""mean"", ""threatening""",Feedback,1,stanford_friendly_looking_dog.png,1,1,1,1
a friendly looking dog,stanford_dogs,subjective,"""happy"", ""playful"", ""gentle"", ""cute"", ""adorable"", ""wagging tail""","""aggressive"", ""scary"", ""angry"", ""mean"", ""threatening""",Feedback,2,stanford_friendly_looking_dog.png,1,1,1,1
a friendly looking dog,stanford_dogs,subjective,"""happy"", ""playful"", ""gentle"", ""cute"", ""adorable"", ""wagging tail""","""aggressive"", ""scary"", ""angry"", ""mean"", ""threatening""",Feedback,3,stanford_friendly_looking_dog.png,0,0,1,0
a friendly looking dog,stanford_dogs,subjective,"""happy"", ""playful"", ""gentle"", ""cute"", ""adorable"", ""wagging tail""","""aggressive"", ""scary"", ""angry"", ""mean"", ""threatening""",Feedback,4,stanford_friendly_looking_dog.png,0,0,0,0
a friendly looking dog,stanford_dogs,subjective,"""happy"", ""playful"", ""gentle"", ""cute"", ""adorable"", ""wagging tail""","""aggressive"", ""scary"", ""angry"", ""mean"", ""threatening""",Feedback,5,stanford_friendly_looking_dog.png,1,1,1,1
a friendly looking dog,stanford_dogs,subjective,"""happy"", ""playful"", ""gentle"", ""cute"", ""adorable"", ""wagging tail""","""aggressive"", ""scary"", ""angry"", ""mean"", ""threatening""",Feedback,6,stanford_friendly_looking_dog.png,1,1,0,1
a friendly looking dog,stanford_dogs,subjective,"""happy"", ""playful"", ""gentle"", ""cute"", ""adorable"", ""wagging tail""","""aggressive"", ""scary"", ""angry"", ""mean"", ""threatening""",Feedback,7,stanford_friendly_looking_dog.png,1,1,1,1
a friendly looking dog,stanford_dogs,subjective,"""happy"", ""playful"", ""gentle"", ""cute"", ""adorable"", ""wagging tail""","""aggressive"", ""scary"", ""angry"", ""mean"", ""threatening""",Feedback,8,stanford_friendly_looking_dog.png,1,1,1,1
a friendly looking dog,stanford_dogs,subjective,"""happy"", ""playful"", ""gentle"", ""cute"", ""adorable"", ""wagging tail""","""aggressive"", ""scary"", ""angry"", ""mean"", ""threatening""",Feedback,9,stanford_friendly_looking_dog.png,1,1,1,1
a friendly looking dog,stanford_dogs,subjective,"""happy"", ""playful"", ""gentle"", ""cute"", ""adorable"", ""wagging tail""","""aggressive"", ""scary"", ""angry"", ""mean"", ""threatening""",Feedback,10,stanford_friendly_looking_dog.png,1,1,0,1
an agressive looking dog,stanford_dogs,subjective,,,CLIP,1,stanford_angry_dog.png,0,0,0,0
an agressive looking dog,stanford_dogs,subjective,,,CLIP,2,stanford_angry_dog.png,0,0,0,0
an agressive looking dog,stanford_dogs,subjective,,,CLIP,3,stanford_angry_dog.png,0,0,0,0
an agressive looking dog,stanford_dogs,subjective,,,CLIP,4,stanford_angry_dog.png,1,1,1,1
an agressive looking dog,stanford_dogs,subjective,,,CLIP,5,stanford_angry_dog.png,0,0,0,0
an agressive looking dog,stanford_dogs,subjective,,,CLIP,6,stanford_angry_dog.png,0,0,0,0
an agressive looking dog,stanford_dogs,subjective,,,CLIP,7,stanford_angry_dog.png,0,0,0,0
an agressive looking dog,stanford_dogs,subjective,,,CLIP,8,stanford_angry_dog.png,1,1,1,1
an agressive looking dog,stanford_dogs,subjective,,,CLIP,9,stanford_angry_dog.png,0,0,0,0
an agressive looking dog,stanford_dogs,subjective,,,CLIP,10,stanford_angry_dog.png,1,0,0,0
an agressive looking dog,stanford_dogs,subjective,"""angry"", ""fierce"", ""showing teeth"", ""growling"", ""intense"", ""tense""","""friendly"", ""calm"", ""relaxed"", ""playful"", ""gentle""",Feedback,1,stanford_angry_dog.png,1,1,1,1
an agressive looking dog,stanford_dogs,subjective,"""angry"", ""fierce"", ""showing teeth"", ""growling"", ""intense"", ""tense""","""friendly"", ""calm"", ""relaxed"", ""playful"", ""gentle""",Feedback,2,stanford_angry_dog.png,1,1,1,1
an agressive looking dog,stanford_dogs,subjective,"""angry"", ""fierce"", ""showing teeth"", ""growling"", ""intense"", ""tense""","""friendly"", ""calm"", ""relaxed"", ""playful"", ""gentle""",Feedback,3,stanford_angry_dog.png,1,1,1,1
